product_type1,product_type2,time,price,is_original,time_diff
A,B,2024-01-02 00:00:00,119.68117190919833,True,
A,B,2024-01-02 02:00:00,114.80879279861522,True,2.0
A,B,2024-01-02 04:00:00,130.61909135677004,True,2.0
A,B,2024-01-02 06:00:00,119.72689335149296,True,2.0
A,B,2024-01-02 08:00:00,,False,2.0
A,B,2024-01-02 10:00:00,134.57414393486425,True,4.0
A,B,2024-01-02 12:00:00,122.76569155002542,True,2.0
A,B,2024-01-02 14:00:00,138.4140210220489,True,2.0
A,B,2024-01-02 16:00:00,116.48810689693002,True,2.0
A,B,2024-01-02 18:00:00,135.63117068097122,True,2.0
A,B,2024-01-02 20:00:00,134.60734529954152,True,2.0
A,B,2024-01-02 22:00:00,127.736368673719,True,2.0
A,B,2024-01-03 00:00:00,123.73670423145956,True,2.0
A,B,2024-01-03 02:00:00,135.17235253096388,True,2.0
A,B,2024-01-03 04:00:00,135.99165027902723,True,2.0
A,B,2024-01-03 06:00:00,132.0061551595799,True,2.0
A,B,2024-01-03 08:00:00,119.91604554511436,True,2.0
A,B,2024-01-03 10:00:00,116.15955151155184,True,2.0
A,B,2024-01-03 12:00:00,116.69749744905404,True,2.0
A,B,2024-01-03 14:00:00,130.25892982836552,True,2.0
A,B,2024-01-03 16:00:00,123.52483251879084,True,2.0
A,B,2024-01-03 18:00:00,120.90723960058445,True,2.0
A,B,2024-01-03 20:00:00,130.57219291377774,True,2.0
A,B,2024-01-03 22:00:00,118.47642276264374,True,2.0
A,B,2024-01-04 00:00:00,118.28020681347893,True,2.0
A,B,2024-01-04 02:00:00,139.23352275281127,True,2.0
A,B,2024-01-04 04:00:00,128.26194229195133,True,2.0
A,B,2024-01-04 06:00:00,135.51342200017822,True,2.0
A,B,2024-01-04 08:00:00,119.9452084033117,True,2.0
A,B,2024-01-04 10:00:00,122.13674097119504,True,2.0
A,B,2024-01-04 12:00:00,119.48701099240527,True,2.0
A,B,2024-01-04 14:00:00,136.3634975996872,True,2.0
